trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,Condition,bern_param_play,bern_param_not_play,dP,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,9.877263124999445,9.877263124999445,space,0.7882312919973629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672863,001,A,2023-06-29_15h21.03.286,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.704093208001723,10.704093208001723,space,0.3124404579975817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672863,001,A,2023-06-29_15h21.03.286,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.032688250001229,11.032688250001229,space,0.28825345799850766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672863,001,A,2023-06-29_15h21.03.286,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.337420415999077,11.337420415999077,11.337420415999077,11.337420415999077,11.337420415999077,11.337420415999077,11.337420415999077,11.337420415999077,11.337420415999077,11.337420415999077,space,0.3044378339982359,,,,,,,,,,,,,,,,,,672863,001,A,2023-06-29_15h21.03.286,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.651057791001222,13.66179049999846,13.66179049999846,15.671600665998994,16.01233725000202,16.01233725000202,16.01233725000202,16.01233725000202,16.01233725000202,16.01233725000202,16.01233725000202,16.01233725000202,16.01233725000202,16.01233725000202,left,0,0.6471341670003312,,,,,,,,
