Condition,bern_param_play,bern_param_not_play,dP,impact,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,image_avec_training.started,image_sans_training.started,joueur.started,question_mark_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,image_avec_outcome_training.started,image_sans_outcome_training.started,cross_outcome_training.started,joueur_feedback.started,image_outcome_training.started,text_resultat.started,cross_outcome_training.stopped,image_outcome_training.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,text_question_trial23.started,text_numero_joueur.started,cross_fixation.started,image_avec_cues_23.started,image_sans_cues_23.started,image_domicile_cues_23.started,image_exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_feedback23.started,exterieur_feedback23.started,text_question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_feedback23.started,sans_feedback23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,text_instr_12.started,key_resp_12.started,key_resp_12.keys,key_resp_12.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.86975812501623,306.22288733301684,306.22288733301684,306.22288733301684,306.22288733301684,306.22288733301684,306.22288733301684,306.22288733301684,306.22288733301684,306.22288733301684,306.22288733301684,,right,0,0.5826259160239715,306.84644045800087,306.84644045800087,306.84644045800087,306.84644045800087,306.84644045800087,306.84644045800087,306.84644045800087,306.84644045800087,307.3343040829932,307.3343040829932,307.3649747080053,308.8157246670162,308.8157246670162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.8241160000034,309.1192962920177,309.1192962920177,309.1192962920177,309.1192962920177,309.1192962920177,309.1192962920177,309.1192962920177,309.1192962920177,309.1192962920177,309.1192962920177,,right,0,1.129552958009299,310.2762853750028,310.2762853750028,310.2762853750028,310.2762853750028,310.2762853750028,310.2762853750028,310.2762853750028,310.2762853750028,310.77205575001426,310.77205575001426,310.80265104200225,312.2494355830131,312.2494355830131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.25803966700914,312.5772005000035,312.5772005000035,312.5772005000035,312.5772005000035,312.5772005000035,312.5772005000035,312.5772005000035,312.5772005000035,312.5772005000035,312.5772005000035,,left,0,0.7541889999993145,313.3736377500172,313.3736377500172,313.3736377500172,313.3736377500172,313.3736377500172,313.3736377500172,313.3736377500172,313.3736377500172,313.8802022500022,313.8802022500022,313.9109521670034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.35457812499953,315.6949103749939,315.6949103749939,315.6949103749939,315.6949103749939,315.6949103749939,315.6949103749939,315.6949103749939,315.6949103749939,315.6949103749939,315.6949103749939,,left,0,0.6736090409976896,316.3972451669979,316.3972451669979,316.3972451669979,316.3972451669979,316.3972451669979,316.3972451669979,316.3972451669979,316.3972451669979,316.8969119579997,316.8969119579997,316.92738329200074,318.3749631670071,318.3749631670071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.37842670799,318.7191125419922,318.7191125419922,318.7191125419922,318.7191125419922,318.7191125419922,318.7191125419922,318.7191125419922,318.7191125419922,318.7191125419922,318.7191125419922,,right,0,0.9150700829923153,319.672519832995,319.672519832995,319.672519832995,319.672519832995,319.672519832995,319.672519832995,319.672519832995,319.672519832995,320.1665832500148,320.1665832500148,320.19729091701447,321.64658366699587,321.64658366699587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.65035233300296,321.963918458001,321.963918458001,321.963918458001,321.963918458001,321.963918458001,321.963918458001,321.963918458001,321.963918458001,321.963918458001,321.963918458001,,left,0,0.6612168320280034,322.6549667500076,322.6549667500076,322.6549667500076,322.6549667500076,322.6549667500076,322.6549667500076,322.6549667500076,322.6549667500076,323.1559757080104,323.1559757080104,323.18702366700745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.63503541701357,324.96938879200025,324.96938879200025,324.96938879200025,324.96938879200025,324.96938879200025,324.96938879200025,324.96938879200025,324.96938879200025,324.96938879200025,324.96938879200025,,left,0,0.9732595000241417,325.97193812500336,325.97193812500336,325.97193812500336,325.97193812500336,325.97193812500336,325.97193812500336,325.97193812500336,325.97193812500336,326.45987595801125,326.45987595801125,326.49033370800316,327.9399476670078,327.9399476670078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.964102583006,328.33550062499125,328.33550062499125,328.33550062499125,328.33550062499125,328.33550062499125,328.33550062499125,328.33550062499125,328.33550062499125,328.33550062499125,328.33550062499125,330.32566487501026,left,0,2.455344165995484,330.8323597080016,330.8323597080016,330.8323597080016,330.8323597080016,330.8323597080016,330.8323597080016,330.8323597080016,330.8323597080016,331.3213446250011,331.3213446250011,331.351969832991,332.80130862499936,332.80130862499936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.80928650000715,333.17849870800273,333.17849870800273,333.17849870800273,333.17849870800273,333.17849870800273,333.17849870800273,333.17849870800273,333.17849870800273,333.17849870800273,333.17849870800273,,left,0,0.7291592909896281,333.93527687501046,333.93527687501046,333.93527687501046,333.93527687501046,333.93527687501046,333.93527687501046,333.93527687501046,333.93527687501046,334.4246992499975,334.4246992499975,334.45530312499614,335.90383045800263,335.90383045800263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.9284816670115,336.2769094580144,336.2769094580144,336.2769094580144,336.2769094580144,336.2769094580144,336.2769094580144,336.2769094580144,336.2769094580144,336.2769094580144,336.2769094580144,,left,0,0.6899680409987923,337.01044391701,337.01044391701,337.01044391701,337.01044391701,337.01044391701,337.01044391701,337.01044391701,337.01044391701,337.49858949999907,337.49858949999907,337.5290430000168,338.9779058750137,338.9779058750137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235661,001,A,2023-04-12_10h20.37.374,vb_task_exp_1,2022.2.5,None,
