Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,question_mark_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_4.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.319836415998,340.666909915999,340.666909915999,340.666909915999,340.666909915999,340.666909915999,340.666909915999,340.666909915999,340.666909915999,340.666909915999,340.666909915999,,left,0,0.8221950419974746,341.519720915996,341.519720915996,341.519720915996,341.519720915996,341.519720915996,341.519720915996,341.519720915996,341.519720915996,342.0065912909995,342.0065912909995,342.03862454099726,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.50246070799767,343.8404926250005,343.8404926250005,343.8404926250005,343.8404926250005,343.8404926250005,343.8404926250005,343.8404926250005,343.8404926250005,343.8404926250005,343.8404926250005,,right,0,1.6068189580037142,345.4820550410004,345.4820550410004,345.4820550410004,345.4820550410004,345.4820550410004,345.4820550410004,345.4820550410004,345.4820550410004,345.97293362500204,345.97293362500204,346.0047286659974,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.4689726659999,347.8079498329971,347.8079498329971,347.8079498329971,347.8079498329971,347.8079498329971,347.8079498329971,347.8079498329971,347.8079498329971,347.8079498329971,347.8079498329971,,right,0,1.2407393330067862,349.0818317079975,349.0818317079975,349.0818317079975,349.0818317079975,349.0818317079975,349.0818317079975,349.0818317079975,349.0818317079975,349.56760245799524,349.56760245799524,349.59867941599805,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0649728749995,351.40559187500185,351.40559187500185,351.40559187500185,351.40559187500185,351.40559187500185,351.40559187500185,351.40559187500185,351.40559187500185,351.40559187500185,351.40559187500185,,right,0,1.1765955420050886,352.6162977499989,352.6162977499989,352.6162977499989,352.6162977499989,352.6162977499989,352.6162977499989,352.6162977499989,352.6162977499989,353.10195841600216,353.10195841600216,353.1340142909976,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.5950878329968,354.89953550000064,354.89953550000064,354.89953550000064,354.89953550000064,354.89953550000064,354.89953550000064,354.89953550000064,354.89953550000064,354.89953550000064,354.89953550000064,,left,0,0.5111958330016932,355.45915529099875,355.45915529099875,355.45915529099875,355.45915529099875,355.45915529099875,355.45915529099875,355.45915529099875,355.45915529099875,355.943211040998,355.943211040998,355.9750964999985,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.4423947499963,357.7555888749994,357.7555888749994,357.7555888749994,357.7555888749994,357.7555888749994,357.7555888749994,357.7555888749994,357.7555888749994,357.7555888749994,357.7555888749994,,left,0,0.7093629170049098,358.50079820799874,358.50079820799874,358.50079820799874,358.50079820799874,358.50079820799874,358.50079820799874,358.50079820799874,358.50079820799874,358.9905807499963,358.9905807499963,359.02258554099535,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.4853304579956,360.807346374997,360.807346374997,360.807346374997,360.807346374997,360.807346374997,360.807346374997,360.807346374997,360.807346374997,360.807346374997,360.807346374997,,right,0,0.5885785409991513,361.4400608750002,361.4400608750002,361.4400608750002,361.4400608750002,361.4400608750002,361.4400608750002,361.4400608750002,361.4400608750002,361.92845779100026,361.92845779100026,361.96049408299587,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.4234537910015,363.73674783299793,363.73674783299793,363.73674783299793,363.73674783299793,363.73674783299793,363.73674783299793,363.73674783299793,363.73674783299793,363.73674783299793,363.73674783299793,,right,0,0.40014320900081657,364.1701651659969,364.1701651659969,364.1701651659969,364.1701651659969,364.1701651659969,364.1701651659969,364.1701651659969,364.1701651659969,364.66221637499984,364.66221637499984,364.6943802079986,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.1574884579968,366.4715853750022,366.4715853750022,366.4715853750022,366.4715853750022,366.4715853750022,366.4715853750022,366.4715853750022,366.4715853750022,366.4715853750022,366.4715853750022,,right,0,0.5434630840027239,367.0538759999981,367.0538759999981,367.0538759999981,367.0538759999981,367.0538759999981,367.0538759999981,367.0538759999981,367.0538759999981,367.54539120799745,367.54539120799745,367.57742320800025,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.04051312500087,369.4043955410016,369.4043955410016,369.4043955410016,369.4043955410016,369.4043955410016,369.4043955410016,369.4043955410016,369.4043955410016,369.4043955410016,369.4043955410016,,right,0,0.382654500004719,369.8158630830003,369.8158630830003,369.8158630830003,369.8158630830003,369.8158630830003,369.8158630830003,369.8158630830003,369.8158630830003,370.3175971660021,370.3175971660021,370.3486629159961,371.7814154160005,371.7814154160005,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
