Condition,bern_param_play,bern_param_not_play,dP,impact,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,image_avec_training.started,image_sans_training.started,joueur.started,question_mark_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,image_avec_outcome_training.started,image_sans_outcome_training.started,cross_outcome_training.started,joueur_feedback.started,image_outcome_training.started,text_resultat.started,cross_outcome_training.stopped,image_outcome_training.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,text_question_trial23.started,text_numero_joueur.started,cross_fixation.started,image_avec_cues_23.started,image_sans_cues_23.started,image_domicile_cues_23.started,image_exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_feedback23.started,exterieur_feedback23.started,text_question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_feedback23.started,sans_feedback23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,participant,session,group,date,expName,psychopyVersion,frameRate,
3,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,1,1,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.0010427499947,603.3969903340039,603.3969903340039,603.3969903340039,603.3969903340039,603.3969903340039,603.3969903340039,603.3969903340039,603.3969903340039,603.3969903340039,603.3969903340039,,left,0,0.022991665959125385,603.4586828339961,603.4586828339961,603.4586828339961,603.4586828339961,603.4586828339961,603.4586828339961,603.4586828339961,603.4586828339961,603.9497235839954,603.9497235839954,603.9812278340105,605.4319345840195,605.4319345840195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,1,1,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.4420012920164,605.7969325000013,605.7969325000013,605.7969325000013,605.7969325000013,605.7969325000013,605.7969325000013,605.7969325000013,605.7969325000013,605.7969325000013,605.7969325000013,607.7894019999949,right,0,12.088408248993801,617.920735666994,617.920735666994,617.920735666994,617.920735666994,617.920735666994,617.920735666994,617.920735666994,617.920735666994,618.4120903750008,618.4120903750008,618.4436367920134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
5,0.5,0.5,0.0,0,,,,,,,,,,,,,,,,,,0,2,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.9180547920114,622.3264394590224,622.3264394590224,622.3264394590224,622.3264394590224,622.3264394590224,622.3264394590224,622.3264394590224,622.3264394590224,622.3264394590224,622.3264394590224,,left,0,0.43861141600064,622.8012206669955,622.8012206669955,622.8012206669955,622.8012206669955,622.8012206669955,622.8012206669955,622.8012206669955,622.8012206669955,623.3025527920108,623.3025527920108,623.3338158749975,624.7660132920137,624.7660132920137,619.9289822090068,619.9289822090068,619.9289822090068,0.00699191601597704,619.9289822090068,619.9289822090068,2.0,1.1687461670080665,"[0.10590631364562118, 0.41446028513238287]","[-0.009164969450101833, -0.29226069246435843]","[1, 1]","[0, 0]","[0, 0]","[1.0776034999871626, 2.0105534589965828]",['validate'],None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
5,0.5,0.5,0.0,0,,,,,,,,,,,,,,,,,,0,2,2,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.7778112090018,625.1924960420001,625.1924960420001,625.1924960420001,625.1924960420001,625.1924960420001,625.1924960420001,625.1924960420001,625.1924960420001,625.1924960420001,625.1924960420001,,right,0,0.011141374969156459,625.2444984590111,625.2444984590111,625.2444984590111,625.2444984590111,625.2444984590111,625.2444984590111,625.2444984590111,625.2444984590111,625.742471000005,625.742471000005,625.7742844590102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
5,0.5,0.5,0.0,0,,,,,,,,,,,,,,,,,,0,2,2,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.2333297920122,627.5963370840182,627.5963370840182,627.5963370840182,627.5963370840182,627.5963370840182,627.5963370840182,627.5963370840182,627.5963370840182,627.5963370840182,627.5963370840182,,right,0,0.5363508329901379,628.1771397500124,628.1771397500124,628.1771397500124,628.1771397500124,628.1771397500124,628.1771397500124,628.1771397500124,628.1771397500124,628.6694800000114,628.6694800000114,628.700905042002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
6,0.5,0.5,0.0,0,,,,,,,,,,,,,,,,,,0,3,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.0915097499965,633.4764983750065,633.4764983750065,633.4764983750065,633.4764983750065,633.4764983750065,633.4764983750065,633.4764983750065,633.4764983750065,633.4764983750065,633.4764983750065,,left,0,1.781216331961332,635.2948787500209,635.2948787500209,635.2948787500209,635.2948787500209,635.2948787500209,635.2948787500209,635.2948787500209,635.2948787500209,635.78325412501,635.78325412501,635.8165575840103,,,630.1931746670161,630.1931746670161,630.1931746670161,0.015631583984941244,630.1931746670161,630.1931746670161,0.0,0.967625457997201,"[-0.007128309572301426, 0.045824847250509164, 0.42362525458248473, 0.41446028513238287]","[0.024439918533604887, -0.3044806517311609, -0.2861507128309572, -0.29938900203665986]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.8780397920054384, 1.7826013750163838, 2.4368936250102706, 2.920069000014337]",['validate'],0.9582484725050917,1.866399583988823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
6,0.5,0.5,0.0,0,,,,,,,,,,,,,,,,,,0,3,3,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.2996973750123,637.7146691250091,637.7146691250091,637.7146691250091,637.7146691250091,637.7146691250091,637.7146691250091,637.7146691250091,637.7146691250091,637.7146691250091,637.7146691250091,,right,0,0.2571594569890294,638.0017597090045,638.0017597090045,638.0017597090045,638.0017597090045,638.0017597090045,638.0017597090045,638.0017597090045,638.0017597090045,638.5091652919946,638.5091652919946,638.5435557090095,639.9823012500128,639.9823012500128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
6,0.5,0.5,0.0,0,,,,,,,,,,,,,,,,,,0,3,3,5,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.986873167014,640.3878529590147,640.3878529590147,640.3878529590147,640.3878529590147,640.3878529590147,640.3878529590147,640.3878529590147,640.3878529590147,640.3878529590147,640.3878529590147,,right,0,0.1866874159895815,640.6094375420071,640.6094375420071,640.6094375420071,640.6094375420071,640.6094375420071,640.6094375420071,640.6094375420071,640.6094375420071,641.0970435420168,641.0970435420168,641.1286790000158,642.5986605000217,642.5986605000217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
7,0.8,0.2,0.6,6,,,,,,,,,,,,,,,,,,0,4,4,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.4337410000153,645.9208841670188,645.9208841670188,645.9208841670188,645.9208841670188,645.9208841670188,645.9208841670188,645.9208841670188,645.9208841670188,645.9208841670188,645.9208841670188,,left,0,0.31091574899619445,646.268341292016,646.268341292016,646.268341292016,646.268341292016,646.268341292016,646.268341292016,646.268341292016,646.268341292016,646.7555125000072,646.7555125000072,646.7877302090055,,,642.6286394589988,642.6286394589988,642.6286394589988,0.020105125004192814,642.6286394589988,642.6286394589988,0.0,1.5876592499844264,"[-0.017311608961303463, 0.04175152749490835, 0.3890020366598778]","[0.004073319755600814, -0.2983706720977597, -0.2983706720977597]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.4966932919924147, 2.32816120897769, 2.8169836250017397]",['validate'],0.9175152749490835,2.3828914999903645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
7,0.8,0.2,0.6,6,,,,,,,,,,,,,,,,,,0,4,4,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.2470107090194,648.6568952090165,648.6568952090165,648.6568952090165,648.6568952090165,648.6568952090165,648.6568952090165,648.6568952090165,648.6568952090165,648.6568952090165,648.6568952090165,,left,0,0.2118485409882851,648.9096858749981,648.9096858749981,648.9096858749981,648.9096858749981,648.9096858749981,648.9096858749981,648.9096858749981,648.9096858749981,649.4040815840126,649.4040815840126,649.4356105420156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
