Condition;bern_param_left_down;bern_param_left_up;bern_param_right_down;bern_param_right_up;bern_param_z;bern_param_up;bern_param_down;impact
10;0,5;0,5;0,5;0,5;0,6;0,4;0,6;0
11;0,5;0,5;0,5;0,5;0,6;0,4;0,6;0
12;0,5;0,5;0,5;0,5;0,6;0,4;0,6;0
13;0,2;0,8;0,8;0,2;0,6;0,4;0,6;6
14;0,2;0,8;0,8;0,2;0,6;0,4;0,6;6
15;0,2;0,8;0,8;0,2;0,6;0,4;0,6;6
16;0,8;0,2;0,2;0,8;0,6;0,4;0,6;-6
17;0,8;0,2;0,2;0,8;0,6;0,4;0,6;-6
18;0,8;0,2;0,2;0,8;0,6;0,4;0,6;-6
